Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
"5',7-dimethyl-3-phenyl-isoxazolo(3,4-d)pyrimidin-4,6-dione",387458,NCI60,"5',7-dimethyl-3-phenyl-isoxazolo(3,4-d)pyrimidin-4,6-dione",#N/A,,#N/A,#N/A
"1,3-diphenyl-4-phosphoranylideneamino-uracil",387460,NCI60,"1,3-diphenyl-4-phosphoranylideneamino-uracil",#N/A,,#N/A,#N/A
"2'-azido-2-butyl-pyrido(1,2-e)carbazol-1,3-dione",387461,NCI60,"2'-azido-2-butyl-pyrido(1,2-e)carbazol-1,3-dione",#N/A,,#N/A,#N/A
"6-azido-1,3-dimethyl-uracil",387462,NCI60,"6-azido-1,3-dimethyl-uracil",#N/A,,#N/A,#N/A
"6-azido-1,3-methyl-5-nitro-uracil",387464,NCI60,"6-azido-1,3-methyl-5-nitro-uracil",#N/A,,#N/A,#N/A
"1,3,6-trimethyl-oxazolo(5,4-d)pyrimidin-2,4(1h,3h)-dion",387466,NCI60,"1,3,6-trimethyl-oxazolo(5,4-d)pyrimidin-2,4(1h,3h)-dion",#N/A,,#N/A,#N/A
"1,3,6-triphenyl-oxazolo(5,4-d)pyrimidin-2',4(1h,3h)-dion",387467,NCI60,"1,3,6-triphenyl-oxazolo(5,4-d)pyrimidin-2',4(1h,3h)-dion",#N/A,,#N/A,#N/A
"2-phenyl-oxazolo(4,5-c)quinolin-4-one",387468,NCI60,"2-phenyl-oxazolo(4,5-c)quinolin-4-one",#N/A,,#N/A,#N/A
"3,5,7-triphenyl-isoxazolo(3,4-d)pyrimidin-4,6-dione",387469,NCI60,"3,5,7-triphenyl-isoxazolo(3,4-d)pyrimidin-4,6-dione",#N/A,,#N/A,#N/A
unnamed_17731,387470,NCI60,-,#N/A,,#N/A,#N/A
4'-azido-3-nitro-1-methyl-2-quinolone,387473,NCI60,4'-azido-3-nitro-1-methyl-2-quinolone,#N/A,,#N/A,#N/A
unnamed_17732,387475,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17733,387476,NCI60,-,#N/A,,#N/A,#N/A
"2,3-diazido-phenalen-1-on",387478,NCI60,"2,3-diazido-phenalen-1-on",#N/A,,#N/A,#N/A
"1,3-dimethyl-5-nitro-4-phosphoranylideneamino-uracil",387480,NCI60,"1,3-dimethyl-5-nitro-4-phosphoranylideneamino-uracil",#N/A,,#N/A,#N/A
2'-acetyl-1-azido-phenylen-3-one,387481,NCI60,2'-acetyl-1-azido-phenylen-3-one,#N/A,,#N/A,#N/A
1-azido-2-acetyl-benzo(ii)quinolizin-3-one,387483,NCI60,1-azido-2-acetyl-benzo(ii)quinolizin-3-one,#N/A,,#N/A,#N/A
"9-chlor-2-methyl-oxazolo(4,5-c)quinolin-4-one",387485,NCI60,"9-chlor-2-methyl-oxazolo(4,5-c)quinolin-4-one",#N/A,,#N/A,#N/A
"9-chlor-2-phenyl-oxazolo(4,5-c)quinolin-4-one",387486,NCI60,"9-chlor-2-phenyl-oxazolo(4,5-c)quinolin-4-one",#N/A,,#N/A,#N/A
unnamed_17734,387487,NCI60,-,#N/A,,#N/A,#N/A
